"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR","metric_wosvi_sum","metric_wosvi_PR"
"88",2009,515,2009515,0,0.0375608142765006,0.327319587628866,0.123711340206186,0.783505154639175,0.411512027491409,0.358247422680412,0.225515463917526,0.11340206185567
"89",2009,516,2009516,2.22222222222222e-08,0.0165645300307136,0.675257731958763,0.463917525773196,0.15979381443299,0.432989690721649,0.412371134020619,0.569587628865979,0.690721649484536
"90",2010,514,2010514,0,0.0165878132934955,0.327319587628866,0.458762886597938,0.93298969072165,0.573024054982818,0.649484536082474,0.393041237113402,0.360824742268041
"91",2010,515,2010515,0,0.029140101424326,0.327319587628866,0.247422680412371,0.860824742268041,0.478522336769759,0.520618556701031,0.287371134020619,0.195876288659794
"92",2010,516,2010516,0,0.0238047833859778,0.327319587628866,0.314432989690722,0.34020618556701,0.327319587628866,0.195876288659794,0.320876288659794,0.247422680412371
"93",2011,515,2011515,0,0.0243526240663577,0.327319587628866,0.298969072164948,0.180412371134021,0.268900343642612,0.0824742268041237,0.313144329896907,0.237113402061856
"94",2011,516,2011516,0.010992513,0.019118770611586,0.835051546391753,0.391752577319588,0.530927835051546,0.585910652920962,0.680412371134021,0.61340206185567,0.742268041237113
"95",2012,515,2012515,0,0.0217077908719078,0.327319587628866,0.360824742268041,0.365979381443299,0.351374570446735,0.242268041237113,0.344072164948454,0.278350515463918
"96",2012,516,2012516,0.00134545111111111,0.0313064196334737,0.778350515463918,0.216494845360825,0.077319587628866,0.357388316151203,0.252577319587629,0.497422680412371,0.572164948453608
"97",2013,515,2013515,0,0.0188432247461357,0.327319587628866,0.402061855670103,0.247422680412371,0.325601374570447,0.182989690721649,0.364690721649485,0.309278350515464
"98",2013,516,2013516,0.044719815,0.0233814910726455,0.891752577319588,0.324742268041237,0.608247422680412,0.608247422680412,0.72680412371134,0.608247422680412,0.72680412371134
"99",2014,515,2014515,0,0.0166955640088508,0.327319587628866,0.45360824742268,0.164948453608247,0.315292096219931,0.15979381443299,0.390463917525773,0.355670103092784
"100",2015,515,2015515,0,0.0155921387381276,0.327319587628866,0.489690721649485,0.304123711340206,0.373711340206186,0.283505154639175,0.408505154639175,0.38659793814433
"101",2016,515,2016515,0,0.0143892339544513,0.327319587628866,0.520618556701031,0.592783505154639,0.480240549828179,0.536082474226804,0.423969072164949,0.438144329896907
"102",2016,516,2016516,0,0.0213151927437642,0.327319587628866,0.365979381443299,0.634020618556701,0.442439862542955,0.451030927835052,0.346649484536082,0.283505154639175
"103",2017,515,2017515,0,0.0153166347196198,0.327319587628866,0.505154639175258,0.0154639175257732,0.282646048109966,0.0927835051546392,0.416237113402062,0.402061855670103
"104",2017,516,2017516,0,0.0297319781173506,0.327319587628866,0.242268041237113,0.190721649484536,0.253436426116838,0.0670103092783505,0.28479381443299,0.190721649484536
"105",2018,515,2018515,0,0.0260159736903923,0.327319587628866,0.278350515463918,0.0103092783505155,0.2053264604811,0.0257731958762887,0.302835051546392,0.22680412371134
"106",2018,516,2018516,0,0.082890564344858,0.327319587628866,0.0206185567010309,0.45360824742268,0.267182130584192,0.077319587628866,0.173969072164948,0.0206185567010309
"107",2019,515,2019515,0,0.0181818181818182,0.327319587628866,0.412371134020619,0.994845360824742,0.578178694158076,0.670103092783505,0.369845360824742,0.319587628865979
"108",2019,516,2019516,0,0.0739756811815635,0.327319587628866,0.0309278350515464,0.762886597938144,0.373711340206186,0.283505154639175,0.179123711340206,0.0309278350515464
"109",2020,515,2020515,5.55555555555556e-08,0.0244253691671394,0.711340206185567,0.293814432989691,0.84020618556701,0.615120274914089,0.737113402061856,0.502577319587629,0.582474226804124
"110",2020,516,2020516,0,0.0591821119889212,0.327319587628866,0.0463917525773196,0.0309278350515464,0.134879725085911,0.00515463917525773,0.186855670103093,0.0463917525773196
"111",2021,516,2021516,0,0.0233441453504479,0.327319587628866,0.329896907216495,0.427835051546392,0.361683848797251,0.265463917525773,0.32860824742268,0.257731958762887
"112",2022,515,2022515,0.303130843333333,0,0.994845360824742,0.981958762886598,0.917525773195876,0.964776632302405,1,0.98840206185567,1
"113",2022,516,2022516,0.0201294875,0.0226646616289376,0.871134020618557,0.34020618556701,0.757731958762887,0.656357388316151,0.804123711340206,0.605670103092784,0.716494845360825
"114",2023,516,2023516,0,0.0494536496168613,0.327319587628866,0.0721649484536082,0.835051546391753,0.411512027491409,0.358247422680412,0.199742268041237,0.0670103092783505
"115",2024,516,2024516,0,0.0434902295446214,0.327319587628866,0.103092783505155,0.438144329896907,0.289518900343643,0.110824742268041,0.21520618556701,0.0927835051546392
"116",2025,516,2025516,0,0.0493621536285608,0.327319587628866,0.077319587628866,0.775773195876289,0.393470790378007,0.335051546391753,0.202319587628866,0.0721649484536082
"117",2026,516,2026516,0,0.0872894670688788,0.327319587628866,0.0154639175257732,0.731958762886598,0.358247422680412,0.257731958762887,0.17139175257732,0.0154639175257732
"118",2027,516,2027516,0,0.0995397485593564,0.327319587628866,0.0103092783505155,0.0979381443298969,0.145189003436426,0.0103092783505155,0.168814432989691,0.0103092783505155
"119",2029,516,2029516,0,0.0374282122372967,0.327319587628866,0.128865979381443,0.680412371134021,0.378865979381443,0.304123711340206,0.228092783505155,0.118556701030928
"120",2030,516,2030516,0,0.0223918378170414,0.327319587628866,0.350515463917526,0.0670103092783505,0.248281786941581,0.0618556701030928,0.338917525773196,0.268041237113402
"121",2034,516,2034516,0,0.040644413305273,0.327319587628866,0.108247422680412,0.0927835051546392,0.176116838487973,0.0154639175257732,0.217783505154639,0.0979381443298969
"122",2035,516,2035516,0,0.0470659407138536,0.327319587628866,0.0979381443298969,0.443298969072165,0.289518900343643,0.110824742268041,0.212628865979381,0.0876288659793814
"123",2036,516,2036516,0,0.0515469373092371,0.327319587628866,0.0618556701030928,0.938144329896907,0.442439862542955,0.451030927835052,0.194587628865979,0.0618556701030928
"124",2037,516,2037516,0,0.0406245501180679,0.327319587628866,0.11340206185567,0.536082474226804,0.325601374570447,0.182989690721649,0.220360824742268,0.103092783505155
"125",2038,516,2038516,0,0.0338627800986517,0.327319587628866,0.190721649484536,0.414948453608247,0.310996563573883,0.149484536082474,0.259020618556701,0.154639175257732
"126",2039,516,2039516,0,0.0321613962603952,0.327319587628866,0.211340206185567,0.621134020618557,0.38659793814433,0.329896907216495,0.269329896907216,0.170103092783505
"127",2040,516,2040516,0,0.0302324552533118,0.327319587628866,0.231958762886598,0.510309278350515,0.356529209621993,0.247422680412371,0.279639175257732,0.180412371134021
"128",2041,516,2041516,0,0.0524855330801622,0.327319587628866,0.0567010309278351,0.646907216494845,0.343642611683849,0.216494845360825,0.192010309278351,0.0567010309278351
"129",2042,516,2042516,0,0.0175438596491228,0.327319587628866,0.422680412371134,0.144329896907216,0.298109965635739,0.118556701030928,0.375,0.324742268041237
"130",2045,516,2045516,0,0.02504741978919,0.327319587628866,0.283505154639175,0.286082474226804,0.298969072164948,0.123711340206186,0.305412371134021,0.231958762886598
"131",2046,516,2046516,0,0.0269163647463021,0.327319587628866,0.262886597938144,0.108247422680412,0.232817869415808,0.0515463917525773,0.295103092783505,0.211340206185567
"132",2047,516,2047516,0,0.0312729450660485,0.327319587628866,0.221649484536082,0.126288659793814,0.225085910652921,0.0412371134020619,0.274484536082474,0.175257731958763
"133",2048,516,2048516,0,0.0263921915391041,0.327319587628866,0.268041237113402,0.319587628865979,0.304982817869416,0.144329896907216,0.297680412371134,0.216494845360825
"134",2049,516,2049516,0,0.0212854547093678,0.327319587628866,0.371134020618557,0.628865979381443,0.442439862542955,0.451030927835052,0.349226804123711,0.288659793814433
"135",2050,516,2050516,0,0.0196078431372549,0.327319587628866,0.38659793814433,0.149484536082474,0.287800687285223,0.0979381443298969,0.356958762886598,0.298969072164948
"136",2051,516,2051516,0,0.0174031476997579,0.327319587628866,0.427835051546392,0.0567010309278351,0.270618556701031,0.0876288659793814,0.377577319587629,0.329896907216495
"137",2052,516,2052516,0,0.0158770161290323,0.327319587628866,0.479381443298969,0.335051546391753,0.380584192439863,0.314432989690722,0.403350515463918,0.376288659793814
"138",3000,514,3000514,3.33333333333333e-08,0.0135752190546711,0.698453608247423,0.551546391752577,0.391752577319588,0.547250859106529,0.618556701030928,0.625,0.755154639175258
"139",3001,514,3001514,0,0.0153609580546425,0.327319587628866,0.5,0.5,0.442439862542955,0.451030927835052,0.413659793814433,0.396907216494845
"140",3002,514,3002514,0,0.015625,0.327319587628866,0.484536082474227,0.126288659793814,0.312714776632302,0.154639175257732,0.405927835051546,0.381443298969072
"141",3003,514,3003514,0,0.0146470760647123,0.327319587628866,0.515463917525773,0.695876288659794,0.512886597938144,0.577319587628866,0.42139175257732,0.417525773195876
"142",3005,514,3005514,0.077246455,0.0129099626315767,0.927835051546392,0.56701030927835,0.670103092783505,0.721649484536082,0.845360824742268,0.747422680412371,0.793814432989691
"143",3006,514,3006514,0,0.0169491525423729,0.327319587628866,0.443298969072165,0.72680412371134,0.49914089347079,0.561855670103093,0.385309278350515,0.345360824742268
"144",3007,514,3007514,0,0.0140169030734678,0.327319587628866,0.536082474226804,0.0876288659793814,0.31701030927835,0.172680412371134,0.431701030927835,0.448453608247423
"145",3010,514,3010514,0,0.0100783439335709,0.327319587628866,0.654639175257732,0.680412371134021,0.554123711340206,0.634020618556701,0.490979381443299,0.556701030927835
"146",3011,514,3011514,0,0.0101162550133553,0.327319587628866,0.649484536082474,0.0489690721649485,0.34192439862543,0.211340206185567,0.48840206185567,0.551546391752577
"147",3012,514,3012514,0,0.0119309214067238,0.327319587628866,0.582474226804124,0.43298969072165,0.447594501718213,0.479381443298969,0.454896907216495,0.489690721649485
"148",3013,514,3013514,0,0.0110906862745098,0.327319587628866,0.61340206185567,0.407216494845361,0.449312714776632,0.484536082474227,0.470360824742268,0.520618556701031
