"","dist_F7413","dist_F7537","dist_F9689","RID","min_dist","min_FID","min_inv_dist","Block_y","Tract","BID"
"101",Inf,Inf,Inf,8064,Inf,"7413",0,1012,514,"1012514"
"102",Inf,Inf,Inf,7926,Inf,"7413",0,1012,514,"1012514"
"103",147,102,216,10139,102,"7537",0.00980392156862745,1013,514,"1013514"
"104",Inf,Inf,Inf,8469,Inf,"7413",0,1012,514,"1012514"
"105",Inf,Inf,Inf,8234,Inf,"7413",0,1014,514,"1014514"
"106",Inf,Inf,Inf,9224,Inf,"7413",0,1014,514,"1014514"
"107",Inf,Inf,Inf,9785,Inf,"7413",0,1014,514,"1014514"
"108",Inf,Inf,Inf,9784,Inf,"7413",0,1014,514,"1014514"
"109",Inf,Inf,Inf,7435,Inf,"7413",0,1014,514,"1014514"
"110",Inf,Inf,Inf,7359,Inf,"7413",0,1016,514,"1016514"
"111",Inf,Inf,Inf,9079,Inf,"7413",0,1016,514,"1016514"
"112",Inf,Inf,Inf,9356,Inf,"7413",0,1016,514,"1016514"
"113",Inf,Inf,Inf,9658,Inf,"7413",0,1016,514,"1016514"
"114",Inf,Inf,Inf,10213,Inf,"7413",0,1016,514,"1016514"
"115",Inf,Inf,Inf,9080,Inf,"7413",0,1016,514,"1016514"
"116",Inf,Inf,Inf,7127,Inf,"7413",0,1017,514,"1017514"
"117",Inf,Inf,Inf,9810,Inf,"7413",0,1017,514,"1017514"
"118",Inf,Inf,Inf,8658,Inf,"7413",0,1017,514,"1017514"
"119",Inf,Inf,Inf,8384,Inf,"7413",0,1017,514,"1017514"
"120",Inf,Inf,Inf,9936,Inf,"7413",0,1017,514,"1017514"
"121",Inf,Inf,Inf,7730,Inf,"7413",0,1018,514,"1018514"
"122",145,100,214,9157,100,"7537",0.01,1018,514,"1018514"
"123",Inf,Inf,Inf,10212,Inf,"7413",0,1019,514,"1019514"
"124",Inf,Inf,Inf,8948,Inf,"7413",0,1019,514,"1019514"
"125",Inf,Inf,Inf,9077,Inf,"7413",0,1019,514,"1019514"
"126",Inf,Inf,Inf,9078,Inf,"7413",0,1019,514,"1019514"
"127",Inf,Inf,Inf,8577,Inf,"7413",0,1020,514,"1020514"
"128",Inf,Inf,Inf,9921,Inf,"7413",0,1020,514,"1020514"
"129",Inf,Inf,Inf,9781,Inf,"7413",0,1020,514,"1020514"
"130",Inf,Inf,Inf,7357,Inf,"7413",0,1020,514,"1020514"
"131",Inf,Inf,Inf,7281,Inf,"7413",0,1020,514,"1020514"
"132",Inf,Inf,Inf,10897,Inf,"7413",0,1021,514,"1021514"
"133",Inf,Inf,Inf,10279,Inf,"7413",0,1023,514,"1023514"
"134",Inf,Inf,Inf,10826,Inf,"7413",0,1023,514,"1023514"
"135",Inf,Inf,Inf,9518,Inf,"7413",0,1023,514,"1023514"
"136",Inf,Inf,Inf,8079,Inf,"7413",0,1023,514,"1023514"
