,Block_y,Tract,BID,Pdamage_avg,inv_dist_avg,Pdamage_PR,Efficiency_PR,SVI_PR_total,metric_sum,metric_PR
24,1012,515,1012515,0,0.014705882,0.327319588,0.417525773,0.203608247,0.28685567,0.154639175
68,2001,514,2001514,0,0,0.327319588,0.739690722,0.113402062,0.282989691,0.149484536
178,3047,514,3047514,0,0,0.327319588,0.739690722,0.103092784,0.278865979,0.144329897
144,3007,514,3007514,0,0,0.327319588,0.739690722,0.087628866,0.272680412,0.139175258
192,3063,514,3063514,0,0,0.327319588,0.739690722,0.082474227,0.270618557,0.134020619
99,2014,515,2014515,0,0.016695564,0.327319588,0.371134021,0.164948454,0.266752577,0.128865979
155,3020,514,3020514,0,0,0.327319588,0.739690722,0.072164948,0.266494845,0.12371134
176,3045,514,3045514,0,0,0.327319588,0.739690722,0.06185567,0.262371134,0.118556701
93,2011,515,2011515,0,0.024352624,0.327319588,0.242268041,0.180412371,0.260051546,0.113402062
104,2017,516,2017516,0,0.029731978,0.327319588,0.18556701,0.190721649,0.258505155,0.108247423
146,3011,514,3011514,0,0,0.327319588,0.739690722,0.048969072,0.257216495,0.100515464
188,3059,514,3059514,0,0,0.327319588,0.739690722,0.048969072,0.257216495,0.100515464
129,2042,516,2042516,0,0.01754386,0.327319588,0.350515464,0.144329897,0.256443299,0.092783505
12,1007,515,1007515,0,0.030109979,0.327319588,0.175257732,0.18556701,0.255412371,0.087628866
135,2050,516,2050516,0,0.019607843,0.327319588,0.31443299,0.149484536,0.254896907,0.082474227
159,3027,514,3027514,0,0,0.327319588,0.739690722,0.036082474,0.252061856,0.077319588
182,3051,514,3051514,0,0,0.327319588,0.739690722,0.025773196,0.247938144,0.072164948
38,1017,515,1017515,0,0.056155746,0.327319588,0.051546392,0.195876289,0.247164948,0.067010309
53,1023,515,1023515,0,0.024301874,0.327319588,0.24742268,0.139175258,0.244072165,0.06185567
149,3014,514,3014514,0,0,0.327319588,0.739690722,0.005154639,0.239690722,0.056701031
45,1019,516,1019516,0,0.034168939,0.327319588,0.134020619,0.154639175,0.238917526,0.051546392
132,2047,516,2047516,0,0.031272945,0.327319588,0.164948454,0.12628866,0.230670103,0.046391753
131,2046,516,2046516,0,0.026916365,0.327319588,0.201030928,0.108247423,0.227061856,0.041237113
136,2051,516,2051516,0,0.017403148,0.327319588,0.355670103,0.056701031,0.221907216,0.036082474
120,2030,516,2030516,0,0.022391838,0.327319588,0.268041237,0.067010309,0.217268041,0.030927835
103,2017,515,2017515,0,0.014447633,0.327319588,0.422680412,0.015463918,0.212113402,0.025773196
121,2034,516,2034516,0,0.040644413,0.327319588,0.097938144,0.092783505,0.21056701,0.020618557
118,2027,516,2027516,0,0.099539749,0.327319588,0.010309278,0.097938144,0.203865979,0.015463918
105,2018,515,2018515,0,0.026015974,0.327319588,0.221649485,0.010309278,0.189948454,0.010309278
110,2020,516,2020516,0,0.059182112,0.327319588,0.046391753,0.030927835,0.180670103,0.005154639
